dataset,file_name,source,file_type,compression,encoding,language_hint,dataset_type,classification_confidence,n_columns,estimated_records,records_sampled,text_length_avg,encoding_quality,dominant_script,mixed_language,code_switching,romanized,errors,relative_path
11369.txt,11369.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,35.0,1.0,Devanagari,False,False,False,0,11369.txt
1137.txt,1137.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,62.0,1.0,Devanagari,False,False,False,0,1137.txt
11370.txt,11370.txt,unknown,txt,none,utf-8,,Monolingual,0.55,1,13,5,426.6,1.0,Devanagari,False,False,False,0,11370.txt
11372.txt,11372.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,463.0,1.0,Devanagari,False,False,False,0,11372.txt
11373.txt,11373.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,37.0,1.0,Devanagari,False,False,False,0,11373.txt
11374.txt,11374.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,489.0,1.0,Devanagari,False,False,False,0,11374.txt
11375.txt,11375.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,43.0,1.0,Devanagari,False,False,False,0,11375.txt
11376.txt,11376.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,55.0,1.0,Devanagari,False,False,False,0,11376.txt
11379.txt,11379.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,145.0,1.0,Devanagari,False,False,False,0,11379.txt
1138.txt,1138.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,44.0,1.0,Devanagari,False,False,False,0,1138.txt
11380.txt,11380.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,45.0,1.0,Devanagari,False,False,False,0,11380.txt
11382.txt,11382.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,82.0,1.0,Devanagari,False,False,False,0,11382.txt
11386.txt,11386.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,116.0,1.0,Devanagari,False,False,False,0,11386.txt
11387.txt,11387.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,13,5,195.2,1.0,Devanagari,False,False,False,0,11387.txt
11388.txt,11388.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,48.0,1.0,Devanagari,False,False,False,0,11388.txt
1139.txt,1139.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,320.0,1.0,Devanagari,False,False,False,0,1139.txt
11391.txt,11391.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,158.0,1.0,Devanagari,False,False,False,0,11391.txt
11392.txt,11392.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,5,2,162.0,1.0,Devanagari,False,False,False,0,11392.txt
11393.txt,11393.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,118.0,1.0,Devanagari,False,False,False,0,11393.txt
11395.txt,11395.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,45,17,401.65,1.0,Devanagari,False,False,False,0,11395.txt
11396.txt,11396.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,122.0,1.0,Devanagari,False,False,False,0,11396.txt
11399.txt,11399.txt,unknown,txt,none,utf-8,,Monolingual,0.55,1,18,7,261.14,1.0,Devanagari,False,False,False,0,11399.txt
114.txt,114.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,235.0,1.0,Devanagari,False,False,False,0,114.txt
11400.txt,11400.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,5,2,162.5,1.0,Devanagari,False,False,False,0,11400.txt
11401.txt,11401.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,138.0,1.0,Devanagari,False,False,False,0,11401.txt
11403.txt,11403.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,81.0,1.0,Devanagari,False,False,False,0,11403.txt
11404.txt,11404.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,104.0,1.0,Devanagari,False,False,False,0,11404.txt
11405.txt,11405.txt,unknown,txt,none,utf-8,,Monolingual,0.55,1,36,14,328.36,1.0,Devanagari,False,False,False,0,11405.txt
11406.txt,11406.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,38.0,1.0,Devanagari,False,False,False,0,11406.txt
11407.txt,11407.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,53.0,1.0,Devanagari,False,False,False,0,11407.txt
11409.txt,11409.txt,unknown,txt,none,utf_8,,Bilingual,0.55,1,2,1,295.0,1.0,Devanagari,True,True,False,0,11409.txt
11411.txt,11411.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,7,3,92.0,1.0,Devanagari,False,False,False,0,11411.txt
11412.txt,11412.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,134.0,1.0,Devanagari,False,False,False,0,11412.txt
11413.txt,11413.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,20,8,103.62,1.0,Devanagari,False,False,False,0,11413.txt
11415.txt,11415.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,8,3,188.33,1.0,Devanagari,False,False,False,0,11415.txt
11416.txt,11416.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,181.0,1.0,Devanagari,False,False,False,0,11416.txt
11417.txt,11417.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,8,3,195.33,1.0,Devanagari,False,False,False,0,11417.txt
1142.txt,1142.txt,unknown,txt,none,utf-8,,Monolingual,0.55,1,54,21,374.38,1.0,Devanagari,False,False,False,0,1142.txt
11420.txt,11420.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,136.0,1.0,Devanagari,False,False,False,0,11420.txt
11421.txt,11421.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,157.0,1.0,Devanagari,False,False,False,0,11421.txt
11422.txt,11422.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,271.0,1.0,Devanagari,False,False,False,0,11422.txt
11423.txt,11423.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,18.0,1.0,Devanagari,False,False,False,0,11423.txt
11425.txt,11425.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,26.0,1.0,Devanagari,False,False,False,0,11425.txt
11427.txt,11427.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,105.0,1.0,Devanagari,False,False,False,0,11427.txt
11429.txt,11429.txt,unknown,txt,none,utf_8,,Bilingual,0.55,1,4,2,108.0,1.0,Devanagari,True,True,False,0,11429.txt
1143.txt,1143.txt,unknown,txt,none,utf-8,,Unknown,0.2,0,,0,0.0,1.0,,False,False,False,0,1143.txt
11431.txt,11431.txt,unknown,txt,none,utf_8,,Bilingual,0.55,1,17,8,199.88,1.0,Devanagari,True,True,False,0,11431.txt
11432.txt,11432.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,55.0,1.0,Devanagari,False,False,False,0,11432.txt
11433.txt,11433.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,45.0,1.0,Devanagari,False,False,False,0,11433.txt
11434.txt,11434.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,13,5,284.4,1.0,Devanagari,False,False,False,0,11434.txt
11435.txt,11435.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,196.0,1.0,Devanagari,False,False,False,0,11435.txt
11436.txt,11436.txt,unknown,txt,none,ascii,,Unknown,0.2,0,,0,0.0,1.0,,False,False,False,0,11436.txt
11438.txt,11438.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,10,4,151.25,1.0,Devanagari,False,False,False,0,11438.txt
1144.txt,1144.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,108.0,1.0,Devanagari,False,False,False,0,1144.txt
11442.txt,11442.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,97.0,1.0,Devanagari,False,False,False,0,11442.txt
11443.txt,11443.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,110.0,1.0,Devanagari,False,False,False,0,11443.txt
11444.txt,11444.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,5,2,31.0,1.0,Devanagari,False,False,False,0,11444.txt
11445.txt,11445.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,8,3,41.67,1.0,Devanagari,False,False,False,0,11445.txt
11449.txt,11449.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,5,2,43.0,1.0,Devanagari,False,False,False,0,11449.txt
1145.txt,1145.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,10,4,247.5,1.0,Devanagari,False,False,False,0,1145.txt
11450.txt,11450.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,149.0,1.0,Devanagari,False,False,False,0,11450.txt
11453.txt,11453.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,63.0,1.0,Devanagari,False,False,False,0,11453.txt
11454.txt,11454.txt,unknown,txt,none,utf_8,,Bilingual,0.55,1,6,3,76.67,1.0,Devanagari,True,True,False,0,11454.txt
11455.txt,11455.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,64.0,1.0,Devanagari,False,False,False,0,11455.txt
11456.txt,11456.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,43.0,1.0,Devanagari,False,False,False,0,11456.txt
11458.txt,11458.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,101.0,1.0,Devanagari,False,False,False,0,11458.txt
1146.txt,1146.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,10,4,249.5,1.0,Devanagari,False,False,False,0,1146.txt
11460.txt,11460.txt,unknown,txt,none,ascii,,Unknown,0.2,0,,0,0.0,1.0,,False,False,False,0,11460.txt
11464.txt,11464.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,175.0,1.0,Devanagari,False,False,False,0,11464.txt
11465.txt,11465.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,35.0,1.0,Devanagari,False,False,False,0,11465.txt
11467.txt,11467.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,74.0,1.0,Devanagari,False,False,False,0,11467.txt
11468.txt,11468.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,60.0,1.0,Devanagari,False,False,False,0,11468.txt
1147.txt,1147.txt,unknown,txt,none,utf-8,,Monolingual,0.55,1,26,10,365.5,1.0,Devanagari,False,False,False,0,1147.txt
11470.txt,11470.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,8,3,104.67,1.0,Devanagari,False,False,False,0,11470.txt
11471.txt,11471.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,363.0,1.0,Devanagari,False,False,False,0,11471.txt
11474.txt,11474.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,79.0,1.0,Devanagari,False,False,False,0,11474.txt
11475.txt,11475.txt,unknown,txt,none,utf-8,,Monolingual,0.55,1,58,22,1493.91,1.0,Devanagari,False,False,False,0,11475.txt
11478.txt,11478.txt,unknown,txt,none,utf_8,,Bilingual,0.55,1,4,2,77.5,1.0,Devanagari,True,True,False,0,11478.txt
11479.txt,11479.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,423.0,1.0,Devanagari,False,False,False,0,11479.txt
1148.txt,1148.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,4,2,99.5,1.0,Devanagari,False,False,False,0,1148.txt
11480.txt,11480.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,192.0,1.0,Devanagari,False,False,False,0,11480.txt
11481.txt,11481.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,393.0,1.0,Devanagari,False,False,False,0,11481.txt
11482.txt,11482.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,100.0,1.0,Devanagari,False,False,False,0,11482.txt
11484.txt,11484.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,103.0,1.0,Devanagari,False,False,False,0,11484.txt
11485.txt,11485.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,160.0,1.0,Devanagari,False,False,False,0,11485.txt
11487.txt,11487.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,114.0,1.0,Devanagari,False,False,False,0,11487.txt
11488.txt,11488.txt,unknown,txt,none,ascii,,Unknown,0.2,0,,0,0.0,1.0,,False,False,False,0,11488.txt
11489.txt,11489.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,7,3,115.67,1.0,Devanagari,False,False,False,0,11489.txt
1149.txt,1149.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,10,4,399.0,1.0,Devanagari,False,False,False,0,1149.txt
11490.txt,11490.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,5,2,145.0,1.0,Devanagari,False,False,False,0,11490.txt
11492.txt,11492.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,108.0,1.0,Devanagari,False,False,False,0,11492.txt
11493.txt,11493.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,26,10,193.1,1.0,Devanagari,False,False,False,0,11493.txt
11498.txt,11498.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,49.0,1.0,Devanagari,False,False,False,0,11498.txt
11499.txt,11499.txt,unknown,txt,none,ascii,,Unknown,0.2,0,,0,0.0,1.0,,False,False,False,0,11499.txt
115.txt,115.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,61,25,146.84,1.0,Devanagari,False,False,False,0,115.txt
11500.txt,11500.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,15,6,162.17,1.0,Devanagari,False,False,False,0,11500.txt
11501.txt,11501.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,8,3,189.33,1.0,Devanagari,False,False,False,0,11501.txt
11502.txt,11502.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,167.0,1.0,Devanagari,False,False,False,0,11502.txt
11504.txt,11504.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,50.0,1.0,Devanagari,False,False,False,0,11504.txt
11507.txt,11507.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,129.0,1.0,Devanagari,False,False,False,0,11507.txt
11508.txt,11508.txt,unknown,txt,none,utf-8,,Monolingual,0.55,1,7,3,581.33,1.0,Devanagari,False,False,False,0,11508.txt
11509.txt,11509.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,7,3,259.33,1.0,Devanagari,False,False,False,0,11509.txt
11510.txt,11510.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,10,4,160.5,1.0,Devanagari,False,False,False,0,11510.txt
11511.txt,11511.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,168.0,1.0,Devanagari,False,False,False,0,11511.txt
11512.txt,11512.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,39.0,1.0,Devanagari,False,False,False,0,11512.txt
11513.txt,11513.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,385.0,1.0,Devanagari,False,False,False,0,11513.txt
11514.txt,11514.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,432.0,1.0,Devanagari,False,False,False,0,11514.txt
11515.txt,11515.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,5,2,27.5,1.0,Devanagari,False,False,False,0,11515.txt
11516.txt,11516.txt,unknown,txt,none,utf-8,,Monolingual,0.55,1,72,28,523.18,1.0,Devanagari,False,False,False,0,11516.txt
11517.txt,11517.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,23,9,97.78,1.0,Devanagari,False,False,False,0,11517.txt
11518.txt,11518.txt,unknown,txt,none,ascii,,Unknown,0.2,0,,0,0.0,1.0,,False,False,False,0,11518.txt
11519.txt,11519.txt,unknown,txt,none,ascii,,Unknown,0.2,0,,0,0.0,1.0,,False,False,False,0,11519.txt
1152.txt,1152.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,5,2,187.0,1.0,Devanagari,False,False,False,0,1152.txt
11520.txt,11520.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,8,3,417.67,1.0,Devanagari,False,False,False,0,11520.txt
11522.txt,11522.txt,unknown,txt,none,utf-8,,Monolingual,0.55,1,26,10,229.6,1.0,Devanagari,False,False,False,0,11522.txt
11524.txt,11524.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,290.0,1.0,Devanagari,False,False,False,0,11524.txt
11525.txt,11525.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,45.0,1.0,Devanagari,False,False,False,0,11525.txt
11526.txt,11526.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,5,2,672.0,1.0,Devanagari,False,False,False,0,11526.txt
11527.txt,11527.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,226.0,1.0,Devanagari,False,False,False,0,11527.txt
11528.txt,11528.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,55.0,1.0,Devanagari,False,False,False,0,11528.txt
11529.txt,11529.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,99.0,1.0,Devanagari,False,False,False,0,11529.txt
1153.txt,1153.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,57.0,1.0,Devanagari,False,False,False,0,1153.txt
11531.txt,11531.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,27,11,73.09,1.0,Devanagari,False,False,False,0,11531.txt
11532.txt,11532.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,8,3,178.33,1.0,Devanagari,False,False,False,0,11532.txt
11534.txt,11534.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,5,2,201.5,1.0,Devanagari,False,False,False,0,11534.txt
11537.txt,11537.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,5,2,458.5,1.0,Devanagari,False,False,False,0,11537.txt
11538.txt,11538.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,94.0,1.0,Devanagari,False,False,False,0,11538.txt
11539.txt,11539.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,56.0,1.0,Devanagari,False,False,False,0,11539.txt
1154.txt,1154.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,56.0,1.0,Devanagari,False,False,False,0,1154.txt
11540.txt,11540.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,106.0,1.0,Devanagari,False,False,False,0,11540.txt
11541.txt,11541.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,59.0,1.0,Devanagari,False,False,False,0,11541.txt
11542.txt,11542.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,5,2,434.0,1.0,Devanagari,False,False,False,0,11542.txt
11545.txt,11545.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,465.0,1.0,Devanagari,False,False,False,0,11545.txt
11546.txt,11546.txt,unknown,txt,none,utf_8,,Bilingual,0.55,1,4,2,57.0,1.0,Devanagari,True,True,False,0,11546.txt
11548.txt,11548.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,5,2,160.5,1.0,Devanagari,False,False,False,0,11548.txt
11549.txt,11549.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,342.0,1.0,Devanagari,False,False,False,0,11549.txt
1155.txt,1155.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,63.0,1.0,Devanagari,False,False,False,0,1155.txt
11551.txt,11551.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,5,2,485.0,1.0,Devanagari,False,False,False,0,11551.txt
11552.txt,11552.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,80.0,1.0,Devanagari,False,False,False,0,11552.txt
11553.txt,11553.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,144.0,1.0,Devanagari,False,False,False,0,11553.txt
11554.txt,11554.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,61.0,1.0,Devanagari,False,False,False,0,11554.txt
11556.txt,11556.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,876.0,1.0,Devanagari,False,False,False,0,11556.txt
11558.txt,11558.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,141.0,1.0,Devanagari,False,False,False,0,11558.txt
11559.txt,11559.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,47.0,1.0,Devanagari,False,False,False,0,11559.txt
1156.txt,1156.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,105.0,1.0,Devanagari,False,False,False,0,1156.txt
11560.txt,11560.txt,unknown,txt,none,utf_8,,Bilingual,0.55,1,4,2,60.5,1.0,Devanagari,True,True,False,0,11560.txt
11561.txt,11561.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,5,2,493.5,1.0,Devanagari,False,False,False,0,11561.txt
11562.txt,11562.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,410.0,1.0,Devanagari,False,False,False,0,11562.txt
11563.txt,11563.txt,unknown,txt,none,utf-8,,Monolingual,0.55,1,21,8,490.12,1.0,Devanagari,False,False,False,0,11563.txt
11564.txt,11564.txt,unknown,txt,none,ascii,,Unknown,0.2,0,,0,0.0,1.0,,False,False,False,0,11564.txt
11565.txt,11565.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,8,3,244.67,1.0,Devanagari,False,False,False,0,11565.txt
11566.txt,11566.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,521.0,1.0,Devanagari,False,False,False,0,11566.txt
11567.txt,11567.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,241.0,1.0,Devanagari,False,False,False,0,11567.txt
11568.txt,11568.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,188.0,1.0,Devanagari,False,False,False,0,11568.txt
11569.txt,11569.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,106.0,1.0,Devanagari,False,False,False,0,11569.txt
11570.txt,11570.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,106,43,367.16,1.0,Devanagari,True,True,False,0,11570.txt
11571.txt,11571.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,108.0,1.0,Devanagari,False,False,False,0,11571.txt
11572.txt,11572.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,374.0,1.0,Devanagari,False,False,False,0,11572.txt
11573.txt,11573.txt,unknown,txt,none,utf-8,,Monolingual,0.55,1,10,4,479.0,1.0,Devanagari,False,False,False,0,11573.txt
11574.txt,11574.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,145.0,1.0,Devanagari,False,False,False,0,11574.txt
11576.txt,11576.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,7,3,104.33,1.0,Devanagari,False,True,False,0,11576.txt
11577.txt,11577.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,32,12,275.67,1.0,Devanagari,False,False,False,0,11577.txt
11578.txt,11578.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,43.0,1.0,Devanagari,False,False,False,0,11578.txt
11579.txt,11579.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,158.0,1.0,Devanagari,False,False,False,0,11579.txt
11581.txt,11581.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,71.0,1.0,Devanagari,False,False,False,0,11581.txt
11583.txt,11583.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,10,4,237.5,1.0,Devanagari,False,False,False,0,11583.txt
11584.txt,11584.txt,unknown,txt,none,utf_8,,Bilingual,0.55,1,23,10,30.2,1.0,Devanagari,True,True,False,0,11584.txt
11585.txt,11585.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,93.0,1.0,Devanagari,False,False,False,0,11585.txt
11586.txt,11586.txt,unknown,txt,none,utf_8,,Bilingual,0.55,1,4,2,102.0,1.0,Devanagari,True,True,False,0,11586.txt
11587.txt,11587.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,172.0,1.0,Devanagari,False,False,False,0,11587.txt
11588.txt,11588.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,108.0,1.0,Devanagari,False,False,False,0,11588.txt
1159.txt,1159.txt,unknown,txt,none,utf_8,,Bilingual,0.55,1,4,2,102.0,1.0,Devanagari,True,True,False,0,1159.txt
11590.txt,11590.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,7,3,185.67,1.0,Devanagari,False,False,False,0,11590.txt
11591.txt,11591.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,5,2,95.0,1.0,Devanagari,False,False,False,0,11591.txt
11593.txt,11593.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,34.0,1.0,Devanagari,False,False,False,0,11593.txt
11594.txt,11594.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,151.0,1.0,Devanagari,False,False,False,0,11594.txt
11595.txt,11595.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,47.0,1.0,Devanagari,False,False,False,0,11595.txt
11596.txt,11596.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,87.0,1.0,Devanagari,False,False,False,0,11596.txt
11597.txt,11597.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,7,3,200.67,1.0,Devanagari,False,False,False,0,11597.txt
11598.txt,11598.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,5,2,247.0,1.0,Devanagari,False,False,False,0,11598.txt
11601.txt,11601.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,42.0,1.0,Devanagari,False,False,False,0,11601.txt
11602.txt,11602.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,585.0,1.0,Devanagari,False,False,False,0,11602.txt
11604.txt,11604.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,61.0,1.0,Devanagari,False,False,False,0,11604.txt
11605.txt,11605.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,7,3,370.33,1.0,Devanagari,False,False,False,0,11605.txt
11606.txt,11606.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,5,2,69.0,1.0,Devanagari,False,False,False,0,11606.txt
11607.txt,11607.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,5,2,92.5,1.0,Devanagari,False,False,False,0,11607.txt
1161.txt,1161.txt,unknown,txt,none,utf-8,,Monolingual,0.55,1,13,5,530.6,1.0,Devanagari,False,False,False,0,1161.txt
11610.txt,11610.txt,unknown,txt,none,utf-8,,Unknown,0.2,0,,0,0.0,1.0,,False,False,False,0,11610.txt
11611.txt,11611.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,62.0,1.0,Devanagari,False,False,False,0,11611.txt
11612.txt,11612.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,300.0,1.0,Devanagari,False,False,False,0,11612.txt
11613.txt,11613.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,694.0,1.0,Devanagari,False,False,False,0,11613.txt
11614.txt,11614.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,203.0,1.0,Devanagari,False,False,False,0,11614.txt
11618.txt,11618.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,137.0,1.0,Devanagari,False,False,False,0,11618.txt
1162.txt,1162.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,123.0,1.0,Devanagari,False,False,False,0,1162.txt
11620.txt,11620.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,14,5,26.8,1.0,Devanagari,False,False,False,0,11620.txt
11625.txt,11625.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,5,2,58.5,1.0,Devanagari,False,False,False,0,11625.txt
